np_tag_id,record_id,table_id,title,description
172,213,1,"RURAL",""
173,214,1,"URBAN",""
174,215,1,"SH_SAN_SAFE",""
175,217,1,"RURAL",""
176,218,1,"URBAN",""
177,219,1,"6.4.1",""
178,220,1,"ER_H2O_WUEYST",""
179,221,1,"INDUSTRIES",""
180,222,1,"ISIC4_A01_A0210_A0322",""
181,223,1,"ISIC4_GTT",""
182,224,1,"2015",""
183,225,1,"1.1.1",""
184,226,1,"SI_POV_DAY1",""
185,227,1,"ChildALLAREABOTHSEX",""
186,228,1,"ElderlyALLAREABOTHSEX",""
187,229,1,"ALLAREABOTHSEX",""
188,230,1,"ALLAREAFEMALE",""
189,231,1,"ALLAREAMALE",""
190,232,1,"RURALBOTHSEX",""
191,233,1,"URBANBOTHSEX",""
192,234,1,"SI_POV_EMP1",""
193,236,1,"AdultFEMALE",""
194,237,1,"AdultMALE",""
195,238,1,"Young AdultBOTHSEX",""
196,239,1,"Young AdultFEMALE",""
197,240,1,"Young AdultMALE",""
198,241,1,"1.4.1",""
199,242,1,"SP_ACS_BSRVH2O",""
200,243,1,"RURAL",""
201,244,1,"URBAN",""
202,245,1,"SP_ACS_BSRVSAN",""
203,247,1,"RURAL",""
204,248,1,"URBAN",""
205,249,1,"13.1.1",""
206,250,1,"VC_DSR_AFFCT",""
207,251,1,"VC_DSR_DAFF",""
208,253,1,"VC_DSR_IJILN",""
209,255,1,"VC_DSR_MISS",""
210,257,1,"VC_DSR_MMHN",""
211,259,1,"VC_DSR_MORT",""
212,261,1,"VC_DSR_MTMP",""
213,263,1,"VC_DSR_PDAN",""
214,265,1,"VC_DSR_PDLN",""
215,267,1,"VC_DSR_PDYN",""
216,269,1,"13.1.2",""
217,270,1,"SG_DSR_LGRGSR",""
218,271,1,"17.1.1",""
219,272,1,"GR_G14_GDP",""
220,273,1,"GR_G14_XDC",""
221,275,1,"17.1.2",""
222,276,1,"GC_GOB_TAXD",""
223,277,1,"6.1.1",""
224,278,1,"SH_H2O_SAFE",""
225,279,1,"RURAL",""
226,280,1,"URBAN",""
227,281,1,"6.2.1",""
228,282,1,"SH_SAN_DEFECT",""
229,283,1,"RURAL",""
230,284,1,"URBAN",""
231,285,1,"SH_SAN_HNDWSH",""
232,287,1,"RURAL",""
233,288,1,"URBAN",""
234,289,1,"SH_SAN_SAFE",""
235,291,1,"RURAL",""
236,292,1,"URBAN",""
237,293,1,"6.4.1",""
238,294,1,"ER_H2O_WUEYST",""
239,295,1,"INDUSTRIES",""
240,296,1,"ISIC4_A01_A0210_A0322",""
241,297,1,"ISIC4_GTT",""
242,298,1,"2020",""
243,299,1,"1.1.1",""
244,300,1,"SI_POV_DAY1",""
245,301,1,"ChildALLAREABOTHSEX",""
246,302,1,"ElderlyALLAREABOTHSEX",""
247,303,1,"ALLAREABOTHSEX",""
248,304,1,"ALLAREAFEMALE",""
249,305,1,"ALLAREAMALE",""
250,306,1,"RURALBOTHSEX",""
251,307,1,"URBANBOTHSEX",""
252,308,1,"SI_POV_EMP1",""
253,310,1,"AdultFEMALE",""
254,311,1,"AdultMALE",""
255,312,1,"Young AdultBOTHSEX",""
256,313,1,"Young AdultFEMALE",""
257,314,1,"Young AdultMALE",""
258,315,1,"1.4.1",""
259,316,1,"SP_ACS_BSRVH2O",""
260,317,1,"RURAL",""
261,318,1,"URBAN",""
262,319,1,"SP_ACS_BSRVSAN",""
263,321,1,"RURAL",""
264,322,1,"URBAN",""
265,323,1,"13.1.1",""
266,324,1,"VC_DSR_AFFCT",""
267,325,1,"VC_DSR_DAFF",""
268,327,1,"VC_DSR_IJILN",""
269,329,1,"VC_DSR_MISS",""
270,331,1,"VC_DSR_MMHN",""
271,333,1,"VC_DSR_MORT",""
272,335,1,"VC_DSR_MTMP",""
273,337,1,"VC_DSR_PDAN",""
274,339,1,"VC_DSR_PDLN",""
275,341,1,"VC_DSR_PDYN",""
276,343,1,"13.1.2",""
277,344,1,"SG_DSR_LGRGSR",""
278,345,1,"17.1.1",""
279,346,1,"GR_G14_GDP",""
280,347,1,"GR_G14_XDC",""
281,349,1,"17.1.2",""
282,350,1,"GC_GOB_TAXD",""
283,351,1,"6.1.1",""
284,352,1,"SH_H2O_SAFE",""
285,353,1,"RURAL",""
286,354,1,"URBAN",""
287,355,1,"6.2.1",""
288,356,1,"SH_SAN_DEFECT",""
289,357,1,"RURAL",""
290,358,1,"URBAN",""
291,359,1,"SH_SAN_HNDWSH",""
292,361,1,"RURAL",""
293,362,1,"URBAN",""
294,363,1,"SH_SAN_SAFE",""
295,365,1,"RURAL",""
296,366,1,"URBAN",""
297,367,1,"6.4.1",""
298,368,1,"ER_H2O_WUEYST",""
299,369,1,"INDUSTRIES",""
300,370,1,"ISIC4_A01_A0210_A0322",""
301,371,1,"ISIC4_GTT",""
302,372,1,"Albania",""
303,373,1,"2000",""
304,374,1,"1.1.1",""
305,375,1,"SI_POV_DAY1",""
306,376,1,"ChildALLAREABOTHSEX",""
307,377,1,"ElderlyALLAREABOTHSEX",""
308,378,1,"ALLAREABOTHSEX",""
309,379,1,"ALLAREAFEMALE",""
310,380,1,"ALLAREAMALE",""
311,381,1,"RURALBOTHSEX",""
312,382,1,"URBANBOTHSEX",""
313,383,1,"SI_POV_EMP1",""
314,385,1,"AdultFEMALE",""
315,386,1,"AdultMALE",""
316,387,1,"Young AdultBOTHSEX",""
317,388,1,"Young AdultFEMALE",""
318,389,1,"Young AdultMALE",""
319,390,1,"1.4.1",""
320,391,1,"SP_ACS_BSRVH2O",""
321,392,1,"RURAL",""
322,393,1,"URBAN",""
323,394,1,"SP_ACS_BSRVSAN",""
324,396,1,"RURAL",""
325,397,1,"URBAN",""
326,398,1,"13.1.1",""
327,399,1,"VC_DSR_AFFCT",""
328,400,1,"VC_DSR_DAFF",""
329,402,1,"VC_DSR_IJILN",""
330,404,1,"VC_DSR_MISS",""
331,406,1,"VC_DSR_MMHN",""
332,408,1,"VC_DSR_MORT",""
333,410,1,"VC_DSR_MTMP",""
334,412,1,"VC_DSR_PDAN",""
335,414,1,"VC_DSR_PDLN",""
336,416,1,"VC_DSR_PDYN",""
337,418,1,"13.1.2",""
338,419,1,"SG_DSR_LGRGSR",""
339,420,1,"17.1.1",""
340,421,1,"GR_G14_GDP",""
341,422,1,"GR_G14_XDC",""
342,424,1,"17.1.2",""
343,425,1,"GC_GOB_TAXD",""
344,426,1,"6.1.1",""
345,427,1,"SH_H2O_SAFE",""
346,428,1,"RURAL",""
347,429,1,"URBAN",""
348,430,1,"6.2.1",""
349,431,1,"SH_SAN_DEFECT",""
350,432,1,"RURAL",""
351,433,1,"URBAN",""
352,434,1,"SH_SAN_HNDWSH",""
353,436,1,"RURAL",""
354,437,1,"URBAN",""
355,438,1,"SH_SAN_SAFE",""
356,440,1,"RURAL",""
357,441,1,"URBAN",""
358,442,1,"6.4.1",""
359,443,1,"ER_H2O_WUEYST",""
360,444,1,"INDUSTRIES",""
361,445,1,"ISIC4_A01_A0210_A0322",""
362,446,1,"ISIC4_GTT",""
363,447,1,"2005",""
364,448,1,"1.1.1",""
365,449,1,"SI_POV_DAY1",""
366,450,1,"ChildALLAREABOTHSEX",""
367,451,1,"ElderlyALLAREABOTHSEX",""
368,452,1,"ALLAREABOTHSEX",""
369,453,1,"ALLAREAFEMALE",""
370,454,1,"ALLAREAMALE",""
371,455,1,"RURALBOTHSEX",""
372,456,1,"URBANBOTHSEX",""
373,457,1,"SI_POV_EMP1",""
374,459,1,"AdultFEMALE",""
375,460,1,"AdultMALE",""
376,461,1,"Young AdultBOTHSEX",""
377,462,1,"Young AdultFEMALE",""
378,463,1,"Young AdultMALE",""
379,464,1,"1.4.1",""
380,465,1,"SP_ACS_BSRVH2O",""
381,466,1,"RURAL",""
382,467,1,"URBAN",""
383,468,1,"SP_ACS_BSRVSAN",""
384,470,1,"RURAL",""
385,471,1,"URBAN",""
386,472,1,"13.1.1",""
387,473,1,"VC_DSR_AFFCT",""
388,474,1,"VC_DSR_DAFF",""
389,476,1,"VC_DSR_IJILN",""
390,478,1,"VC_DSR_MISS",""
391,480,1,"VC_DSR_MMHN",""
392,482,1,"VC_DSR_MORT",""
393,484,1,"VC_DSR_MTMP",""
394,486,1,"VC_DSR_PDAN",""
395,488,1,"VC_DSR_PDLN",""
396,490,1,"VC_DSR_PDYN",""
397,492,1,"13.1.2",""
398,493,1,"SG_DSR_LGRGSR",""
399,494,1,"17.1.1",""
400,495,1,"GR_G14_GDP",""
401,496,1,"GR_G14_XDC",""
402,498,1,"17.1.2",""
403,499,1,"GC_GOB_TAXD",""
404,500,1,"6.1.1",""
405,501,1,"SH_H2O_SAFE",""
406,502,1,"RURAL",""
407,503,1,"URBAN",""
408,504,1,"6.2.1",""
409,505,1,"SH_SAN_DEFECT",""
410,506,1,"RURAL",""
411,507,1,"URBAN",""
412,508,1,"SH_SAN_HNDWSH",""
413,510,1,"RURAL",""
414,511,1,"URBAN",""
415,512,1,"SH_SAN_SAFE",""
416,514,1,"RURAL",""
417,515,1,"URBAN",""
418,516,1,"6.4.1",""
419,517,1,"ER_H2O_WUEYST",""
420,518,1,"INDUSTRIES",""
421,519,1,"ISIC4_A01_A0210_A0322",""
422,520,1,"ISIC4_GTT",""
423,521,1,"2010",""
424,522,1,"1.1.1",""
425,523,1,"SI_POV_DAY1",""
426,524,1,"ChildALLAREABOTHSEX",""
427,525,1,"ElderlyALLAREABOTHSEX",""
428,526,1,"ALLAREABOTHSEX",""
429,527,1,"ALLAREAFEMALE",""
430,528,1,"ALLAREAMALE",""
431,529,1,"RURALBOTHSEX",""
432,530,1,"URBANBOTHSEX",""
433,531,1,"SI_POV_EMP1",""
434,533,1,"AdultFEMALE",""
435,534,1,"AdultMALE",""
436,535,1,"Young AdultBOTHSEX",""
437,536,1,"Young AdultFEMALE",""
438,537,1,"Young AdultMALE",""
439,538,1,"1.4.1",""
440,539,1,"SP_ACS_BSRVH2O",""
441,540,1,"RURAL",""
442,541,1,"URBAN",""
443,542,1,"SP_ACS_BSRVSAN",""
444,544,1,"RURAL",""
445,545,1,"URBAN",""
446,546,1,"13.1.1",""
447,547,1,"VC_DSR_AFFCT",""
448,548,1,"VC_DSR_DAFF",""
449,550,1,"VC_DSR_IJILN",""
450,552,1,"VC_DSR_MISS",""
451,554,1,"VC_DSR_MMHN",""
452,556,1,"VC_DSR_MORT",""
453,558,1,"VC_DSR_MTMP",""
454,560,1,"VC_DSR_PDAN",""
455,562,1,"VC_DSR_PDLN",""
456,564,1,"VC_DSR_PDYN",""
457,566,1,"13.1.2",""
458,567,1,"SG_DSR_LGRGSR",""
459,568,1,"17.1.1",""
460,569,1,"GR_G14_GDP",""
461,570,1,"GR_G14_XDC",""
462,572,1,"17.1.2",""
463,573,1,"GC_GOB_TAXD",""
464,574,1,"6.1.1",""
465,575,1,"SH_H2O_SAFE",""
466,576,1,"RURAL",""
467,577,1,"URBAN",""
468,578,1,"6.2.1",""
469,579,1,"SH_SAN_DEFECT",""
470,580,1,"RURAL",""
471,581,1,"URBAN",""
472,582,1,"SH_SAN_HNDWSH",""
473,584,1,"RURAL",""
474,585,1,"URBAN",""
475,586,1,"SH_SAN_SAFE",""
476,588,1,"RURAL",""
477,589,1,"URBAN",""
478,590,1,"6.4.1",""
479,591,1,"ER_H2O_WUEYST",""
480,592,1,"INDUSTRIES",""
481,593,1,"ISIC4_A01_A0210_A0322",""
482,594,1,"ISIC4_GTT",""
483,595,1,"2015",""
484,596,1,"1.1.1",""
485,597,1,"SI_POV_DAY1",""
486,598,1,"ChildALLAREABOTHSEX",""
487,599,1,"ElderlyALLAREABOTHSEX",""
488,600,1,"ALLAREABOTHSEX",""
489,601,1,"ALLAREAFEMALE",""
490,602,1,"ALLAREAMALE",""
491,603,1,"RURALBOTHSEX",""
492,604,1,"URBANBOTHSEX",""
493,605,1,"SI_POV_EMP1",""
494,607,1,"AdultFEMALE",""
495,608,1,"AdultMALE",""
496,609,1,"Young AdultBOTHSEX",""
497,610,1,"Young AdultFEMALE",""
498,611,1,"Young AdultMALE",""
499,612,1,"1.4.1",""
500,613,1,"SP_ACS_BSRVH2O",""
501,614,1,"RURAL",""
502,615,1,"URBAN",""
503,616,1,"SP_ACS_BSRVSAN",""
504,618,1,"RURAL",""
505,619,1,"URBAN",""
506,620,1,"13.1.1",""
507,621,1,"VC_DSR_AFFCT",""
508,622,1,"VC_DSR_DAFF",""
509,624,1,"VC_DSR_IJILN",""
510,626,1,"VC_DSR_MISS",""
511,628,1,"VC_DSR_MMHN",""
512,630,1,"VC_DSR_MORT",""
513,632,1,"VC_DSR_MTMP",""
514,634,1,"VC_DSR_PDAN",""
515,636,1,"VC_DSR_PDLN",""
516,638,1,"VC_DSR_PDYN",""
517,640,1,"13.1.2",""
518,641,1,"SG_DSR_LGRGSR",""
519,642,1,"17.1.1",""
520,643,1,"GR_G14_GDP",""
521,644,1,"GR_G14_XDC",""
522,646,1,"17.1.2",""
523,647,1,"GC_GOB_TAXD",""
524,648,1,"6.1.1",""
525,649,1,"SH_H2O_SAFE",""
526,650,1,"RURAL",""
527,651,1,"URBAN",""
528,652,1,"6.2.1",""
529,653,1,"SH_SAN_DEFECT",""
530,654,1,"RURAL",""
531,655,1,"URBAN",""
