name,id,lat,lon,population,number,score,parent_country,success,is_altername
Kentucky,0000203439,37.8393332,-84.2700179,4505836,28.0,1.0,USA,True,False
Iowa,0000202733,41.8780025,-93.097702,1000000,0.0,0.5909090909090908,USA,True,False
Omaha,0000207333,41.25626,-95.94043,486051,1.0,1.0,USA,True,False
Missouri,0000206502,37.9642529,-91.8318334,6154913,2.0,1.0,USA,True,False
Palo Alto,0000198854,37.44188,-122.14302,66853,0.0,0.5524861878453039,USA,True,False
Houston,0000197558,61.63028,-149.81806,2206,2.0,0.21739130434782608,USA,True,False
Scotts Valley,0000199032,37.05106,-122.01468,11945,8.0,1.0,USA,True,False
Santa Cruz County,0000197779,31.526,-110.84657,0,11.0,0.5,USA,True,False
Boulder Creek,0000198236,37.12606,-122.12219,4923,15.0,1.0,USA,True,False
Highlands,0000207883,40.40372,-73.99153,4867,10.0,0.5263157894736842,USA,True,False
Capitola,0000198281,36.97523,-121.95329,10189,12.0,1.0,USA,True,False
Seacliff,0000199034,36.97412,-121.91579,3267,14.0,1.0,USA,True,False
Travis County,0000214865,30.33469,-97.78195,1290188,3.0,1.0,USA,True,False
Texas,0000213703,31.9685988,-99.9018131,29145505,4.0,1.0,USA,True,False
Kearney,0000206729,39.36778,-94.36217,33021,,,USA,True,False
Arizona,0000197610,34.0489281,-111.0937311,7151502,,,USA,True,False
Kansas,0000203119,39.011902,-98.4842465,1000000,,,USA,True,False
Hawaii,0000201176,19.8967662,-155.5827818,1455271,10.0,1.0,USA,True,False
Arizona,0000197610,34.0489281,-111.0937311,7151502,6.0,1.0,USA,True,False
Mount Shasta,0000198779,41.31024,-122.31225,3296,7.0,1.0,USA,True,False
Vincent,0000197495,33.38455,-86.41192,15922,11.0,0.5524861878453039,USA,True,False
Santa Maria,0000199020,34.95303,-120.43572,105093,12.0,1.0,USA,True,False
Alaska,0000197513,64.2008413,-149.4936733,733391,14.0,1.0,USA,True,False
Washington,0000215793,47.7510741,-120.7401385,1000000,24.0,0.10478800580364345,USA,True,False
Fargo,0000210066,46.87719,-96.7898,125990,,,USA,True,False
Wahpeton,0000210153,46.26524,-96.60591,8007,,,USA,True,False
